,Modèle,perf1,perf2,perf3,perf4,perf5,perf6,perf7,perf. moyenne
0,GFDL-CM3,0.4,0.7760416666666666,0.0,0.5333333333333333,0.7949389179755671,0.6,0.07462686567164178,0.454134397663887
1,MPI-ESM-MR,0.375,0.5416666666666666,0.8888888888888888,0.3142857142857143,0.6823734729493892,0.0,0.24378109452736318,0.43514226247400306
2,CNRM-CM5-2,0.1,0.7239583333333334,0.25925925925925924,0.5238095238095238,0.9581151832460733,0.2,0.11442786069651742,0.41136716576352955
3,CNRM-CM5,0.125,0.796875,0.037037037037037035,0.638095238095238,0.9659685863874345,0.2,0.10945273631840796,0.41034694254830256
4,HadGEM2-AO,0.1,0.7604166666666666,0.4074074074074074,0.5523809523809524,0.7530541012216405,0.0,0.13432835820895522,0.3867982122693746
5,MPI-ESM-LR,0.175,0.5104166666666666,0.7407407407407407,0.3333333333333333,0.7102966841186736,0.0,0.1890547263681592,0.37983459303251044
6,CanESM2,0.125,0.8177083333333334,0.0,0.5047619047619047,0.8289703315881326,0.2,0.0945273631840796,0.36728113326677864
7,MPI-ESM-P,0.15,0.546875,0.5925925925925926,0.3523809523809524,0.7286212914485166,0.0,0.1691542288557214,0.36280343789682606
8,CMCC-CMS,0.15,0.8229166666666666,0.0,0.5904761904761905,0.7966841186736475,0.0,0.1791044776119403,0.362740207632635
9,MRI-CGCM3,0.0,0.96875,0.0,0.6476190476190476,0.9031413612565445,0.0,0.0,0.35993005841079884
10,MRI-ESM1,0.0,0.9479166666666666,0.0,0.6285714285714286,0.9118673647469459,0.0,0.0,0.35547935142643444
11,bcc-csm1-1,0.35,0.5208333333333334,0.0,0.5047619047619047,0.8237347294938918,0.2,0.07462686567164178,0.3534224047515388
12,IPSL-CM5A-MR,0.2,0.75,0.0,0.580952380952381,0.8342059336823735,0.0,0.004975124378109453,0.338590491287552
13,IPSL-CM5B-LR,0.05,0.6666666666666666,0.0,0.7619047619047619,0.8848167539267016,0.0,0.0,0.33762688321401857
14,GISS-E2-R-CC,0.05,0.7135416666666666,0.0,0.7619047619047619,0.7670157068062827,0.0,0.024875621890547265,0.33104825103832264
15,GISS-E2-H-CC,0.0,0.625,0.0,0.780952380952381,0.8743455497382199,0.0,0.029850746268656716,0.3300212395656082
16,ACCESS1-3,0.125,0.7135416666666666,0.07407407407407407,0.45714285714285713,0.8184991273996509,0.0,0.11940298507462686,0.32966581576541076
17,IPSL-CM5A-LR,0.0,0.734375,0.0,0.6857142857142857,0.8638743455497382,0.0,0.0,0.3262805187520034
18,GISS-E2-H,0.0,0.6145833333333334,0.0,0.7714285714285715,0.8970331588132635,0.0,0.0,0.3261492947964526
19,GFDL-ESM2M,0.25,0.6666666666666666,0.0,0.2,0.7783595113438045,0.2,0.1691542288557214,0.32345434383802757
20,GFDL-CM2p1,0.15,0.6041666666666666,0.0,0.11428571428571428,0.8071553228621291,0.4,0.15920398009950248,0.3192588119877161
21,GFDL-ESM2G,0.25,0.578125,0.0,0.22857142857142856,0.7993019197207679,0.2,0.1044776119402985,0.30863942289035645
22,ACCESS1-0,0.05,0.3802083333333333,0.0,0.7142857142857143,0.8516579406631762,0.0,0.0945273631840796,0.29866847878090047
23,CMCC-CESM,0.3,0.375,0.0,0.45714285714285713,0.7513089005235603,0.0,0.09950248756218906,0.2832791778898009
24,NorESM1-M,0.025,0.7083333333333334,0.0,0.29523809523809524,0.6954624781849913,0.0,0.0945273631840796,0.2597944671343571
25,NorESM1-ME,0.0,0.640625,0.0,0.3047619047619048,0.7111692844677138,0.0,0.09950248756218906,0.2508655252559725
26,bcc-csm1-1-m,0.2,0.265625,0.0,0.2571428571428571,0.8176265270506108,0.0,0.03980099502487562,0.22574219703119192
